Disease,Treatment,Tablet Name,Dosage,Time Taken,Effect Time Duration,Which Age,Company,Purity,Side Effects,Price
Bacterial Infection,Antibiotic Therapy,Amoxicillin,1000 mg,Once daily - Morning,4 hours,13-18,Vitacore Pharmaceuticals,95.9%,"Stomach upset, Mild rash, Constipation",₹238.37
Insomnia,Sedative Therapy,Doxylamine,100 mg,Once daily - Night,10 hours,13-18,Sunrise Pharma,95.8%,Drowsiness,₹794.61
Chronic Pain,Analgesic Therapy,Tramadol,500 mg,After meals,6 hours,65+,Greenfield Biotech,97.7%,"Nausea, Headache",₹263.47
Fever,Antipyretic Therapy,Aspirin,150 mg,Before meals,10 hours,19-35,TrueMed Industries,99.7%,Diarrhea,₹345.95
Depression,Antidepressant Therapy,Escitalopram,300 mg,Once weekly,6 hours,65+,Zenith Biocare,95.0%,"None reported, Fatigue",₹87.92
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,300 mg,Every 6 hours,8 hours,19-35,Nova Health,95.9%,"Headache, Dry mouth",₹73.76
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,50 mg,Once daily - Night,24 hours,36-50,Wellspring Rx,97.6%,Loss of appetite,₹579.27
Insomnia,Sedative Therapy,Melatonin,100 mg,Thrice daily - After meals,12 hours,13-18,Sunrise Pharma,98.9%,Insomnia,₹522.07
Osteoporosis,Supplementation,Alendronate,250 mg,Thrice daily - After meals,10 hours,13-18,Sunrise Pharma,97.4%,"Fatigue, Insomnia",₹358.85
Depression,Antidepressant Therapy,Fluoxetine,100 mg,Once weekly,6 hours,36-50,MedLife Labs,99.1%,"None reported, Nausea",₹836.30
Migraine,Triptan Therapy,Sumatriptan,10 mg,As needed (SOS),12 hours,19-35,MedLife Labs,99.1%,Diarrhea,₹511.20
Bacterial Infection,Antibiotic Therapy,Azithromycin,300 mg,After meals,18 hours,19-35,Zenith Biocare,97.4%,Loss of appetite,₹22.48
Fever,Antipyretic Therapy,Aspirin,250 mg,Twice daily - Morning & Night,6 hours,36-50,Greenfield Biotech,99.7%,Nausea,₹375.51
Anxiety Disorder,Anxiolytic Therapy,Buspirone,250 mg,Every 6 hours,2 hours,36-50,Vitacore Pharmaceuticals,95.9%,Headache,₹327.49
Urinary Tract Infection,Antibiotic Therapy,Nitrofurantoin,200 mg,Thrice daily - After meals,10 hours,51-65,Nova Health,96.6%,Mild rash,₹631.05
Allergy,Antihistamine Therapy,Loratadine,200 mg,Once daily - Morning,18 hours,13-18,TrueMed Industries,95.8%,"Insomnia, Constipation, Stomach upset",₹657.01
Arthritis,NSAID Therapy,Ibuprofen,100 mg,Once weekly,18 hours,19-35,TrueMed Industries,97.0%,Headache,₹49.11
Headache,Analgesic Therapy,Ibuprofen,2.5 mg,Twice daily - Morning & Night,12 hours,51-65,Nova Health,98.5%,"Blurred vision, Mild rash, None reported",₹211.40
Skin Infection (Fungal),Antifungal Therapy,Terbinafine,500 mg,Once daily - Morning,10 hours,19-35,Sunrise Pharma,96.0%,"Constipation, Dry mouth, Drowsiness",₹79.56
Common Cold,Antihistamine Therapy,Phenylephrine Combo,25 mg,As needed (SOS),18 hours,19-35,Horizon Meds,96.0%,"Dizziness, Insomnia",₹161.52
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,100 mg,After meals,12 hours,36-50,MedLife Labs,96.9%,Insomnia,₹718.66
Osteoporosis,Supplementation,Calcium + Vitamin D3,150 mg,As needed (SOS),18 hours,51-65,TrueMed Industries,97.0%,Insomnia,₹354.67
High Cholesterol,Statin Therapy,Simvastatin,300 mg,Every 8 hours,18 hours,36-50,TrueMed Industries,99.6%,"Constipation, Dry mouth",₹826.91
High Cholesterol,Statin Therapy,Simvastatin,300 mg,Every 6 hours,6 hours,36-50,Wellspring Rx,96.8%,"Fatigue, Diarrhea",₹100.68
Fever,Antipyretic Therapy,Paracetamol,300 mg,As needed (SOS),10 hours,65+,Nova Health,97.5%,"Loss of appetite, Nausea",₹541.43
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,1000 mg,Before meals,12 hours,19-35,Silver Cross Pharma,95.3%,Stomach upset,₹148.92
Asthma,Bronchodilator Therapy,Salbutamol,150 mg,Once daily - Night,6 hours,19-35,Nova Health,96.1%,"None reported, Drowsiness, Dry mouth",₹249.35
Chronic Pain,Analgesic Therapy,Diclofenac,25 mg,Once weekly,12 hours,36-50,Horizon Meds,99.6%,"Diarrhea, Blurred vision, Nausea",₹124.79
Arthritis,NSAID Therapy,Diclofenac,25 mg,Thrice daily - After meals,6 hours,0-12,Silver Cross Pharma,97.2%,"Dizziness, Fatigue, Blurred vision",₹746.61
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,5 mg,Twice daily - Morning & Night,2 hours,19-35,Greenfield Biotech,98.9%,Dry mouth,₹103.41
High Cholesterol,Statin Therapy,Simvastatin,1000 mg,Every 6 hours,4 hours,19-35,Cygnus Life Sciences,98.0%,"Nausea, Drowsiness",₹409.67
Common Cold,Symptomatic Relief,Chlorpheniramine,750 mg,Once daily - Night,4 hours,13-18,Nova Health,99.2%,"Dry mouth, Mild rash",₹464.98
Hypertension,Diuretic Therapy,Losartan,25 mg,Once daily - Morning,24 hours,36-50,Silver Cross Pharma,98.6%,"Blurred vision, Dizziness",₹64.18
High Cholesterol,Statin Therapy,Atorvastatin,50 mg,Once daily - Morning,8 hours,19-35,Greenfield Biotech,95.9%,"Blurred vision, Insomnia",₹440.90
Common Cold,Rest & Hydration,Chlorpheniramine,50 mg,Before meals,8 hours,65+,Horizon Meds,98.5%,"Dizziness, Dry mouth",₹372.83
Arthritis,NSAID Therapy,Diclofenac,5 mg,Before meals,2 hours,13-18,Greenfield Biotech,96.9%,"Diarrhea, Blurred vision, Mild rash",₹532.48
Asthma,Bronchodilator Therapy,Montelukast,250 mg,Before meals,8 hours,19-35,TrueMed Industries,95.2%,"Stomach upset, Diarrhea, Constipation",₹697.32
Vitamin D Deficiency,Supplementation,Cholecalciferol,200 mg,Once daily - Night,24 hours,19-35,PurePath Pharma,98.8%,"Headache, Constipation",₹741.04
Vitamin D Deficiency,Supplementation,Cholecalciferol,100 mg,Once daily - Morning,24 hours,13-18,TrueMed Industries,95.6%,Dizziness,₹837.69
Vitamin D Deficiency,Supplementation,Cholecalciferol,1000 mg,Thrice daily - After meals,6 hours,51-65,Silver Cross Pharma,98.3%,"Headache, Constipation, Blurred vision",₹378.43
Arthritis,NSAID Therapy,Diclofenac,10 mg,After meals,6 hours,13-18,MedLife Labs,99.2%,"Diarrhea, Mild rash, Stomach upset",₹497.45
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,200 mg,Every 6 hours,8 hours,0-12,Sunrise Pharma,97.2%,Fatigue,₹604.81
Asthma,Bronchodilator Therapy,Salbutamol,650 mg,After meals,8 hours,0-12,Greenfield Biotech,96.9%,"Blurred vision, Constipation, Headache",₹315.86
Common Cold,Antihistamine Therapy,Cetrizine,100 mg,As needed (SOS),18 hours,65+,PurePath Pharma,96.9%,"Loss of appetite, Blurred vision",₹520.05
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,750 mg,As needed (SOS),24 hours,0-12,Vitacore Pharmaceuticals,97.4%,"Mild rash, Dizziness",₹174.03
High Cholesterol,Statin Therapy,Simvastatin,250 mg,Once weekly,2 hours,19-35,Greenfield Biotech,95.4%,"Stomach upset, Mild rash, Nausea",₹554.01
Urinary Tract Infection,Antibiotic Therapy,Amoxicillin,150 mg,Thrice daily - After meals,24 hours,13-18,MedLife Labs,98.3%,"Loss of appetite, Blurred vision, Constipation",₹163.49
Acidity / GERD,Antacid Therapy,Ranitidine,200 mg,After meals,2 hours,13-18,MedLife Labs,97.7%,Stomach upset,₹596.42
Headache,Analgesic Therapy,Ibuprofen,50 mg,Once weekly,24 hours,19-35,Cygnus Life Sciences,97.4%,"Constipation, Dry mouth",₹649.87
Vitamin D Deficiency,Supplementation,Cholecalciferol,150 mg,Every 8 hours,4 hours,51-65,Greenfield Biotech,99.2%,"Fatigue, Headache",₹448.44
High Cholesterol,Statin Therapy,Simvastatin,650 mg,After meals,12 hours,19-35,Zenith Biocare,96.1%,"Dry mouth, Loss of appetite",₹599.25
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,5 mg,As needed (SOS),18 hours,36-50,Silver Cross Pharma,99.4%,"Headache, Mild rash, None reported",₹281.88
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,250 mg,Once daily - Night,12 hours,65+,PurePath Pharma,98.2%,"Mild rash, Loss of appetite",₹549.00
Depression,Antidepressant Therapy,Fluoxetine,1000 mg,After meals,4 hours,65+,Nova Health,98.0%,Diarrhea,₹765.41
Hypertension,ACE Inhibitor Therapy,Metoprolol,250 mg,Once daily - Morning,12 hours,0-12,Wellspring Rx,99.8%,Drowsiness,₹294.18
Asthma,Steroid Inhalation,Salbutamol,250 mg,Before meals,10 hours,19-35,PurePath Pharma,95.4%,"Insomnia, Dry mouth",₹401.94
Depression,Antidepressant Therapy,Escitalopram,100 mg,As needed (SOS),6 hours,51-65,TrueMed Industries,95.1%,"Nausea, Diarrhea",₹12.75
Common Cold,Symptomatic Relief,Phenylephrine Combo,50 mg,Once weekly,18 hours,51-65,Greenfield Biotech,97.4%,"Diarrhea, Stomach upset",₹452.99
Acidity / GERD,Antacid Therapy,Omeprazole,50 mg,Twice daily - Morning & Night,2 hours,19-35,Horizon Meds,98.4%,"Blurred vision, None reported, Loss of appetite",₹784.98
Hypertension,Beta Blocker Therapy,Hydrochlorothiazide,300 mg,Twice daily - Morning & Night,18 hours,19-35,TrueMed Industries,97.4%,"Drowsiness, Dizziness",₹79.54
Hypertension,Beta Blocker Therapy,Amlodipine,2.5 mg,Every 8 hours,24 hours,51-65,Cygnus Life Sciences,95.3%,Loss of appetite,₹621.82
Cough & Cold,Antitussive Therapy,Ambroxol,25 mg,As needed (SOS),2 hours,36-50,Wellspring Rx,96.1%,Dizziness,₹409.57
High Cholesterol,Statin Therapy,Rosuvastatin,50 mg,Every 8 hours,6 hours,19-35,Greenfield Biotech,98.4%,"Fatigue, Insomnia, Dizziness",₹423.69
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,5 mg,Twice daily - Morning & Night,8 hours,19-35,Silver Cross Pharma,99.3%,"Mild rash, Blurred vision, Constipation",₹427.02
Migraine,Triptan Therapy,Rizatriptan,50 mg,Twice daily - Morning & Night,4 hours,19-35,Horizon Meds,95.7%,"Constipation, Drowsiness, Dry mouth",₹722.21
Arthritis,NSAID Therapy,Ibuprofen,650 mg,Twice daily - Morning & Night,12 hours,51-65,Silver Cross Pharma,99.1%,"Insomnia, Diarrhea, Dizziness",₹257.11
Common Cold,Symptomatic Relief,Chlorpheniramine,500 mg,Every 6 hours,4 hours,0-12,Vitacore Pharmaceuticals,97.0%,"Mild rash, Dry mouth, Stomach upset",₹179.34
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,2.5 mg,Twice daily - Morning & Night,10 hours,13-18,Horizon Meds,95.5%,Mild rash,₹726.46
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,200 mg,Before meals,18 hours,13-18,MedLife Labs,95.1%,"Insomnia, None reported",₹247.52
Hypertension,ACE Inhibitor Therapy,Amlodipine,500 mg,Once daily - Morning,24 hours,51-65,Zenith Biocare,99.6%,Stomach upset,₹558.38
Allergy,Antihistamine Therapy,Loratadine,5 mg,Once daily - Night,24 hours,36-50,Cygnus Life Sciences,95.2%,"None reported, Dry mouth",₹326.27
Vitamin D Deficiency,Supplementation,Cholecalciferol,300 mg,Twice daily - Morning & Night,2 hours,13-18,Sunrise Pharma,99.8%,Nausea,₹409.58
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,1000 mg,Every 6 hours,12 hours,51-65,TrueMed Industries,98.4%,"Fatigue, Dry mouth, Diarrhea",₹656.79
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,300 mg,Every 6 hours,2 hours,36-50,Zenith Biocare,95.2%,Dizziness,₹86.34
Depression,Antidepressant Therapy,Escitalopram,250 mg,Twice daily - Morning & Night,18 hours,65+,MedLife Labs,96.8%,"Dizziness, None reported",₹575.18
Allergy,Antihistamine Therapy,Loratadine,150 mg,As needed (SOS),10 hours,51-65,Cygnus Life Sciences,97.3%,Insomnia,₹346.98
Type 2 Diabetes,Oral Hypoglycemic Therapy,Metformin,500 mg,Thrice daily - After meals,4 hours,0-12,MedLife Labs,95.8%,"Dizziness, Fatigue",₹498.43
Hypertension,Beta Blocker Therapy,Losartan,250 mg,Twice daily - Morning & Night,6 hours,36-50,Wellspring Rx,95.4%,"Nausea, Drowsiness, Headache",₹30.22
Osteoporosis,Bisphosphonate Therapy,Alendronate,100 mg,Thrice daily - After meals,24 hours,36-50,MedLife Labs,98.0%,"Headache, Drowsiness, Constipation",₹68.14
Chronic Pain,Analgesic Therapy,Tramadol,1000 mg,Once weekly,8 hours,51-65,Silver Cross Pharma,99.7%,"Blurred vision, Diarrhea, Fatigue",₹581.31
Arthritis,NSAID Therapy,Diclofenac,1000 mg,Once weekly,12 hours,19-35,Horizon Meds,95.6%,Dizziness,₹129.85
Bacterial Infection,Antibiotic Therapy,Azithromycin,5 mg,As needed (SOS),10 hours,51-65,MedLife Labs,95.9%,"Mild rash, Diarrhea, Headache",₹534.06
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,750 mg,Every 8 hours,10 hours,36-50,Horizon Meds,99.4%,"Dizziness, Fatigue, Blurred vision",₹741.34
Hypertension,ACE Inhibitor Therapy,Hydrochlorothiazide,2.5 mg,Once daily - Night,2 hours,65+,MedLife Labs,97.5%,"Drowsiness, Loss of appetite, Dizziness",₹84.64
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,200 mg,Thrice daily - After meals,24 hours,65+,Zenith Biocare,98.3%,"Drowsiness, Diarrhea",₹327.08
Acidity / GERD,Antacid Therapy,Ranitidine,300 mg,Thrice daily - After meals,10 hours,65+,Zenith Biocare,95.6%,Stomach upset,₹330.75
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,100 mg,Before meals,10 hours,51-65,Greenfield Biotech,95.9%,"Drowsiness, Dry mouth, Constipation",₹75.65
Allergy,Antihistamine Therapy,Loratadine,750 mg,Once weekly,24 hours,65+,Wellspring Rx,99.0%,"Loss of appetite, Fatigue",₹487.05
Insomnia,Sedative Therapy,Doxylamine,1000 mg,Twice daily - Morning & Night,24 hours,36-50,PurePath Pharma,98.1%,"Constipation, Stomach upset, Drowsiness",₹129.66
Chronic Pain,Analgesic Therapy,Tramadol,300 mg,As needed (SOS),2 hours,51-65,Cygnus Life Sciences,97.1%,Dizziness,₹88.01
Asthma,Bronchodilator Therapy,Montelukast,200 mg,As needed (SOS),18 hours,0-12,MedLife Labs,97.2%,"Insomnia, Fatigue",₹841.70
Common Cold,Symptomatic Relief,Cetrizine,250 mg,Thrice daily - After meals,18 hours,0-12,Vitacore Pharmaceuticals,98.0%,"Diarrhea, Nausea, Dry mouth",₹74.96
Skin Infection (Fungal),Antifungal Therapy,Fluconazole,1000 mg,Every 8 hours,8 hours,65+,Nova Health,97.6%,Dizziness,₹201.40
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,10 mg,Thrice daily - After meals,8 hours,19-35,Zenith Biocare,99.6%,"Headache, None reported, Insomnia",₹66.11
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,10 mg,After meals,12 hours,36-50,Silver Cross Pharma,95.7%,"Blurred vision, Dry mouth, Dizziness",₹94.88
Acidity / GERD,Proton Pump Inhibitor,Pantoprazole,1000 mg,Before meals,24 hours,0-12,Silver Cross Pharma,98.8%,Constipation,₹747.92
Insomnia,Sedative Therapy,Zolpidem,500 mg,As needed (SOS),4 hours,19-35,Horizon Meds,99.9%,"Dry mouth, Constipation, Headache",₹65.15
Chronic Pain,Analgesic Therapy,Tramadol,25 mg,Every 8 hours,24 hours,19-35,Zenith Biocare,98.4%,Fatigue,₹51.61
Hypertension,Diuretic Therapy,Amlodipine,1000 mg,Thrice daily - After meals,10 hours,65+,Nova Health,99.4%,"Dry mouth, Blurred vision, Drowsiness",₹597.91
Fever,Antipyretic Therapy,Aspirin,100 mg,As needed (SOS),4 hours,13-18,Zenith Biocare,99.0%,"Loss of appetite, Dizziness, Headache",₹706.20
Type 2 Diabetes,Oral Hypoglycemic Therapy,Metformin,200 mg,Every 6 hours,6 hours,51-65,Wellspring Rx,95.1%,"Blurred vision, Dry mouth, Drowsiness",₹477.98
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,300 mg,Once daily - Night,24 hours,0-12,TrueMed Industries,95.5%,"Stomach upset, Loss of appetite",₹42.54
Cough & Cold,Antitussive Therapy,Dextromethorphan,2.5 mg,Once weekly,10 hours,51-65,Greenfield Biotech,95.2%,"Dizziness, Headache",₹362.88
Urinary Tract Infection,Antibiotic Therapy,Amoxicillin,300 mg,Once daily - Morning,2 hours,36-50,Vitacore Pharmaceuticals,95.6%,"Diarrhea, Drowsiness",₹446.66
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,2.5 mg,As needed (SOS),10 hours,19-35,Silver Cross Pharma,97.2%,"Nausea, Drowsiness, Headache",₹415.11
Cough & Cold,Antitussive Therapy,Dextromethorphan,5 mg,Twice daily - Morning & Night,6 hours,19-35,Cygnus Life Sciences,98.3%,"Diarrhea, Fatigue, Drowsiness",₹177.71
Arthritis,NSAID Therapy,Naproxen,250 mg,Once daily - Morning,10 hours,13-18,PurePath Pharma,96.6%,"Dizziness, Constipation",₹822.78
Common Cold,Antihistamine Therapy,Chlorpheniramine,650 mg,Once weekly,10 hours,51-65,Cygnus Life Sciences,98.7%,"Loss of appetite, Diarrhea, Mild rash",₹387.63
Anxiety Disorder,Anxiolytic Therapy,Buspirone,650 mg,Every 8 hours,6 hours,13-18,PurePath Pharma,95.7%,Drowsiness,₹786.86
Bacterial Infection,Antibiotic Therapy,Doxycycline,1000 mg,Once daily - Morning,12 hours,51-65,Nova Health,99.9%,"Dizziness, Headache, Nausea",₹120.07
Bacterial Infection,Antibiotic Therapy,Amoxicillin,650 mg,Thrice daily - After meals,6 hours,51-65,TrueMed Industries,99.3%,"Loss of appetite, Blurred vision",₹14.00
Headache,Analgesic Therapy,Naproxen,650 mg,Once weekly,10 hours,36-50,Sunrise Pharma,99.7%,Headache,₹168.99
Migraine,Analgesic Therapy,Paracetamol,50 mg,Once daily - Morning,8 hours,65+,Wellspring Rx,95.4%,"Fatigue, Blurred vision, Stomach upset",₹767.93
Osteoporosis,Bisphosphonate Therapy,Alendronate,2.5 mg,Every 6 hours,10 hours,51-65,Wellspring Rx,99.6%,"Constipation, Diarrhea",₹742.01
Asthma,Bronchodilator Therapy,Salbutamol,250 mg,After meals,6 hours,0-12,Horizon Meds,95.3%,Blurred vision,₹732.23
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,200 mg,After meals,2 hours,0-12,MedLife Labs,97.6%,"Mild rash, Dry mouth, Insomnia",₹46.13
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,50 mg,Once daily - Morning,8 hours,13-18,PurePath Pharma,98.6%,"Fatigue, Diarrhea",₹675.59
Asthma,Bronchodilator Therapy,Budesonide,500 mg,Before meals,18 hours,65+,Zenith Biocare,96.7%,"Blurred vision, Loss of appetite, Nausea",₹271.99
Bacterial Infection,Antibiotic Therapy,Azithromycin,150 mg,Thrice daily - After meals,10 hours,36-50,PurePath Pharma,97.3%,"Insomnia, Constipation, Mild rash",₹643.32
Arthritis,NSAID Therapy,Naproxen,750 mg,Once weekly,2 hours,0-12,MedLife Labs,98.3%,"Nausea, Blurred vision, None reported",₹544.85
Migraine,Triptan Therapy,Sumatriptan,5 mg,Every 6 hours,4 hours,13-18,Horizon Meds,95.9%,"Stomach upset, Loss of appetite, Diarrhea",₹748.30
Allergy,Antihistamine Therapy,Cetrizine,5 mg,Every 8 hours,6 hours,36-50,Greenfield Biotech,99.4%,Fatigue,₹637.56
High Cholesterol,Statin Therapy,Rosuvastatin,100 mg,After meals,2 hours,36-50,PurePath Pharma,97.8%,"Nausea, Dry mouth, Fatigue",₹523.47
Hypertension,Diuretic Therapy,Losartan,500 mg,Before meals,2 hours,0-12,Silver Cross Pharma,97.2%,"Constipation, Nausea, Blurred vision",₹48.41
Vitamin D Deficiency,Supplementation,Cholecalciferol,300 mg,Once weekly,8 hours,65+,Zenith Biocare,97.9%,"Fatigue, Insomnia, Loss of appetite",₹445.63
Migraine,Triptan Therapy,Rizatriptan,2.5 mg,Once weekly,4 hours,0-12,PurePath Pharma,95.1%,"Stomach upset, Dizziness",₹720.91
Anxiety Disorder,Anxiolytic Therapy,Alprazolam,150 mg,Once daily - Morning,8 hours,13-18,Zenith Biocare,97.1%,"Constipation, Insomnia",₹88.45
Fever,Antipyretic Therapy,Aspirin,25 mg,Once daily - Night,18 hours,13-18,Nova Health,97.1%,"Fatigue, Insomnia",₹689.98
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,10 mg,Thrice daily - After meals,24 hours,51-65,Greenfield Biotech,97.3%,"Fatigue, Loss of appetite",₹103.43
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,5 mg,As needed (SOS),8 hours,65+,TrueMed Industries,97.5%,Insomnia,₹427.85
Hypertension,Beta Blocker Therapy,Losartan,200 mg,After meals,8 hours,0-12,Vitacore Pharmaceuticals,96.6%,None reported,₹535.90
High Cholesterol,Statin Therapy,Atorvastatin,10 mg,As needed (SOS),8 hours,19-35,Horizon Meds,95.7%,Headache,₹413.11
High Cholesterol,Statin Therapy,Atorvastatin,100 mg,Every 8 hours,6 hours,65+,Cygnus Life Sciences,99.1%,Insomnia,₹375.34
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,50 mg,Thrice daily - After meals,6 hours,13-18,Wellspring Rx,96.0%,Dizziness,₹779.43
Asthma,Bronchodilator Therapy,Montelukast,300 mg,Once daily - Night,8 hours,51-65,Horizon Meds,96.0%,Loss of appetite,₹665.30
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,100 mg,Thrice daily - After meals,10 hours,19-35,Nova Health,97.8%,"None reported, Blurred vision, Stomach upset",₹427.94
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,10 mg,Every 6 hours,12 hours,36-50,Cygnus Life Sciences,95.5%,Dizziness,₹665.42
Chronic Pain,Analgesic Therapy,Paracetamol,25 mg,Once daily - Night,18 hours,51-65,TrueMed Industries,99.4%,"Dry mouth, Nausea, Headache",₹132.31
Hypertension,ACE Inhibitor Therapy,Amlodipine,10 mg,Once daily - Night,18 hours,19-35,Sunrise Pharma,98.0%,Drowsiness,₹14.00
Vitamin D Deficiency,Supplementation,Cholecalciferol,500 mg,Once weekly,24 hours,51-65,Nova Health,95.9%,"Nausea, Diarrhea",₹810.48
Insomnia,Sedative Therapy,Melatonin,25 mg,Once daily - Morning,10 hours,36-50,Wellspring Rx,98.6%,Constipation,₹134.01
Osteoporosis,Supplementation,Calcium + Vitamin D3,2.5 mg,Twice daily - Morning & Night,4 hours,36-50,Cygnus Life Sciences,95.4%,Loss of appetite,₹209.86
Skin Infection (Fungal),Antifungal Therapy,Fluconazole,50 mg,Every 6 hours,18 hours,65+,Nova Health,97.2%,"Dizziness, Insomnia",₹183.76
Arthritis,NSAID Therapy,Diclofenac,1000 mg,Every 8 hours,24 hours,19-35,MedLife Labs,96.1%,"Insomnia, Nausea",₹669.55
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,650 mg,As needed (SOS),12 hours,51-65,Cygnus Life Sciences,98.0%,Insomnia,₹162.79
Type 2 Diabetes,Oral Hypoglycemic Therapy,Metformin,200 mg,Every 6 hours,10 hours,65+,MedLife Labs,96.6%,Mild rash,₹590.30
Chronic Pain,Analgesic Therapy,Paracetamol,10 mg,Before meals,6 hours,51-65,Wellspring Rx,96.5%,"Stomach upset, Mild rash",₹506.37
